datetime,open,high,low,close,volume,Timestamp
2020-09-25,348.73,357.88,337.5,351.88,2148472.096,1600992000000
2020-09-26,351.88,356.58,345.76,353.88,1293348.016,1601078400000
2020-09-27,353.89,362.22,346.79,357.4,1563883.714,1601164800000
2020-09-28,357.29,368.45,351.6,353.85,1849537.469,1601251200000
2020-09-29,353.84,360.55,350.07,359.7,1437671.627,1601337600000
2020-09-30,359.7,361.55,351.02,359.71,1168055.491,1601424000000
2020-10-01,359.71,370.44,345.1,352.53,2088409.078,1601510400000
2020-10-02,352.54,354.34,334.01,345.41,1991868.507,1601596800000
2020-10-03,345.44,350.86,343.38,345.72,824121.901,1601683200000
2020-10-04,345.69,354.3,343.68,352.23,994011.923,1601769600000
2020-10-05,352.15,356.51,348.2,353.45,979059.824,1601856000000
2020-10-06,353.45,354.95,336.44,340.65,1685300.902,1601942400000
2020-10-07,340.66,342.9,332.22,341.41,1228735.001,1602028800000
2020-10-08,341.42,353.43,333.88,351.08,1560418.728,1602115200000
2020-10-09,351.07,368.3,347.26,365.04,1327626.268,1602201600000
2020-10-10,365.03,378.7,364.71,370.68,1467956.111,1602288000000
2020-10-11,370.68,378.1,369.07,374.39,1029589.464,1602374400000
2020-10-12,374.39,395.43,365.5,386.73,2084977.674,1602460800000
2020-10-13,386.72,388.15,374.25,381.12,1684066.814,1602547200000
2020-10-14,381.11,387.72,373.12,378.75,1534026.379,1602633600000
2020-10-15,378.75,382.6,369.5,377.63,1617436.212,1602720000000
2020-10-16,377.63,379.92,360.53,365.41,1864106.37,1602806400000
2020-10-17,365.42,370.91,363.19,368.26,710651.199,1602892800000
2020-10-18,368.26,378.8,367.16,378.29,806637.483,1602979200000
2020-10-19,378.28,384.53,372.72,379.47,1306013.625,1603065600000
2020-10-20,379.47,381.19,364.9,368.74,1662321.815,1603152000000
2020-10-21,368.74,402.8,367.9,390.96,3345842.465,1603238400000
2020-10-22,390.95,421.9,390.57,414.39,3018734.084,1603324800000
2020-10-23,414.38,419.99,401.82,409.4,2104662.195,1603411200000
2020-10-24,409.41,417.16,407.33,412.34,1329608.93,1603497600000
2020-10-25,412.34,417.89,402.6,406.14,1346452.607,1603584000000
2020-10-26,406.14,411.18,382.18,392.43,2786314.677,1603670400000
2020-10-27,392.43,410.58,390.0,403.6,2401387.34,1603756800000
2020-10-28,403.59,409.65,379.28,388.17,2723288.874,1603843200000
2020-10-29,388.17,394.27,380.5,386.94,1923941.877,1603929600000
2020-10-30,386.94,392.1,373.03,382.4,2280687.856,1604016000000
2020-10-31,382.49,394.14,380.14,386.29,1672781.766,1604102400000
2020-11-01,386.28,398.0,384.32,396.82,1414350.496,1604188800000
2020-11-02,396.9,405.0,377.71,383.16,2316121.967,1604275200000
2020-11-03,383.16,390.28,370.0,388.11,2031329.509,1604361600000
2020-11-04,388.11,408.99,375.71,402.92,3120949.65,1604448000000
2020-11-05,402.95,423.79,395.89,417.14,4634761.389,1604534400000
2020-11-06,417.13,459.0,414.81,456.38,5106137.581,1604620800000
2020-11-07,456.38,469.74,423.7,435.58,5035309.468,1604707200000
2020-11-08,435.64,461.1,432.33,454.75,2450451.528,1604793600000
2020-11-09,454.74,459.9,433.76,444.72,3414860.603,1604880000000
2020-11-10,444.73,455.82,439.07,450.67,2457157.259,1604966400000
2020-11-11,450.67,476.89,449.69,463.35,3760142.204,1605052800000
2020-11-12,463.34,470.83,451.09,462.68,3184836.866,1605139200000
2020-11-13,462.69,479.0,457.25,476.8,3013056.859,1605225600000
2020-11-14,476.8,478.1,451.97,461.0,2199594.275,1605312000000
2020-11-15,461.02,462.96,440.1,448.16,2039952.113,1605398400000
2020-11-16,448.16,466.6,445.53,460.72,2458564.459,1605484800000
2020-11-17,460.7,485.93,460.0,482.49,3589150.001,1605571200000
2020-11-18,482.56,497.0,455.0,478.61,5265683.829,1605657600000
2020-11-19,478.6,480.68,465.15,471.38,2320768.365,1605744000000
2020-11-20,471.38,514.52,471.01,510.37,4646610.69,1605830400000
2020-11-21,510.43,555.44,502.8,554.1,5113556.271,1605916800000
2020-11-22,554.04,582.93,511.0,560.42,7317045.59,1606003200000
2020-11-23,560.41,611.88,550.81,609.12,7475301.504,1606089600000
2020-11-24,609.12,624.65,586.15,605.72,5651528.809,1606176000000
2020-11-25,605.71,607.09,555.0,569.79,4433328.336,1606262400000
2020-11-26,569.79,577.53,480.12,520.25,9591594.788,1606348800000
2020-11-27,520.2,530.83,493.8,518.92,3685801.761,1606435200000
2020-11-28,518.89,548.0,507.0,537.46,2832550.126,1606521600000
2020-11-29,537.37,577.0,530.5,576.38,2762989.981,1606608000000
2020-11-30,576.38,617.53,570.9,617.42,4836853.473,1606694400000
2020-12-01,617.5,638.66,558.0,585.98,7059013.364,1606780800000
2020-12-02,585.92,605.88,574.73,596.96,3460094.906,1606867200000
2020-12-03,596.96,624.7,585.95,616.2,2791753.902,1606953600000
2020-12-04,616.21,620.99,564.91,567.68,3251195.251,1607040000000
2020-12-05,567.69,598.2,561.06,596.97,2107815.29,1607126400000
2020-12-06,596.98,607.93,583.2,601.86,2030749.593,1607212800000
2020-12-07,601.86,603.63,584.67,591.84,1665460.089,1607299200000
2020-12-08,591.84,595.75,548.0,555.17,3233758.126,1607385600000
2020-12-09,555.08,578.62,531.0,573.27,3460599.61,1607472000000
2020-12-10,573.28,575.67,548.52,559.71,2293137.506,1607558400000
2020-12-11,559.69,561.37,533.11,544.74,2929601.56,1607644800000
2020-12-12,544.8,574.0,543.34,568.34,1764546.873,1607731200000
2020-12-13,568.3,595.47,563.11,590.91,2311572.28,1607817600000
2020-12-14,590.92,591.63,575.57,586.33,1808415.505,1607904000000
2020-12-15,586.32,598.0,579.0,588.8,1866136.289,1607990400000
2020-12-16,588.8,640.47,581.04,637.8,3634225.42,1608076800000
2020-12-17,637.79,678.2,625.0,643.12,6624640.551,1608163200000
2020-12-18,643.09,665.85,630.1,654.51,2995266.462,1608249600000
2020-12-19,654.44,671.95,646.0,658.81,2635211.184,1608336000000
2020-12-20,658.82,662.99,620.93,638.27,2759178.686,1608422400000
2020-12-21,638.25,648.88,595.54,608.18,3621682.355,1608508800000
2020-12-22,608.24,638.7,588.41,637.2,3285945.398,1608595200000
2020-12-23,637.2,639.54,546.81,585.34,4594542.183,1608681600000
2020-12-24,585.49,615.42,565.2,612.31,3154682.001,1608768000000
2020-12-25,612.31,634.96,604.5,627.18,2623370.085,1608854400000
2020-12-26,627.17,654.32,615.1,637.9,3122352.524,1608940800000
2020-12-27,637.89,718.75,625.0,685.97,6363000.477,1609027200000
2020-12-28,685.97,749.5,681.91,731.07,5455254.006,1609113600000
2020-12-29,731.06,742.0,690.1,733.45,4261041.716,1609200000000
2020-12-30,733.45,760.76,717.52,753.04,3348883.502,1609286400000
2020-12-31,753.05,757.0,721.75,737.19,2876756.193,1609372800000
2021-01-01,737.18,750.4,714.55,729.77,1952291.25,1609459200000
2021-01-02,729.7,788.71,715.6,775.02,4176508.581,1609545600000
2021-01-03,775.04,1022.51,769.19,980.24,9610267.802,1609632000000
2021-01-04,980.23,1173.94,890.0,1043.11,12057661.067,1609718400000
2021-01-05,1043.12,1138.92,974.23,1101.29,7526097.093,1609804800000
2021-01-06,1101.29,1218.0,1057.3,1212.64,6952861.553,1609891200000
2021-01-07,1212.98,1297.15,1150.0,1227.12,5807791.01,1609977600000
2021-01-08,1227.5,1279.06,1064.6,1218.39,6994773.234,1610064000000
2021-01-09,1218.55,1314.0,1173.0,1279.96,4157466.015,1610150400000
2021-01-10,1279.96,1354.66,1168.49,1257.96,5913298.389,1610236800000
2021-01-11,1257.95,1264.5,915.2,1086.94,11237262.772,1610323200000
2021-01-12,1086.84,1153.13,1007.0,1050.82,5531356.605,1610409600000
2021-01-13,1050.67,1138.63,987.21,1130.4,4029644.646,1610496000000
2021-01-14,1130.4,1249.32,1087.68,1234.86,4079502.435,1610582400000
2021-01-15,1234.5,1260.0,1070.0,1168.79,5020898.727,1610668800000
2021-01-16,1168.65,1296.79,1152.13,1230.19,3980782.071,1610755200000
2021-01-17,1230.32,1272.28,1165.0,1233.71,3396518.439,1610841600000
2021-01-18,1233.61,1265.96,1183.2,1262.99,2562805.077,1610928000000
2021-01-19,1263.0,1444.05,1255.51,1367.51,6288844.344,1611014400000
2021-01-20,1367.38,1411.38,1236.35,1379.24,5844273.198,1611100800000
2021-01-21,1379.23,1391.0,1083.4,1111.23,6820207.515,1611187200000
2021-01-22,1111.82,1274.52,1041.13,1234.55,5475223.381,1611273600000
2021-01-23,1234.54,1274.0,1197.0,1235.66,2920417.541,1611360000000
2021-01-24,1235.65,1401.88,1221.51,1394.24,3768553.334,1611446400000
2021-01-25,1394.23,1481.46,1293.0,1318.61,5138109.254,1611532800000
2021-01-26,1318.53,1379.5,1244.87,1368.4,4868106.344,1611619200000
2021-01-27,1368.48,1377.9,1206.0,1238.55,5277115.882,1611705600000
2021-01-28,1238.55,1362.94,1217.28,1329.86,3463945.921,1611792000000
2021-01-29,1330.28,1443.0,1285.46,1381.99,5010264.423,1611878400000
2021-01-30,1382.14,1409.35,1328.0,1380.48,2364036.673,1611964800000
2021-01-31,1380.42,1383.7,1281.96,1313.12,2091898.285,1612051200000
2021-02-01,1313.09,1379.73,1270.0,1376.48,2282184.993,1612137600000
2021-02-02,1376.74,1551.5,1363.0,1516.26,5098356.241,1612224000000
2021-02-03,1516.2,1672.76,1510.76,1666.0,4407760.724,1612310400000
2021-02-04,1666.1,1703.37,1557.0,1596.0,4966516.757,1612396800000
2021-02-05,1595.93,1767.19,1592.46,1721.16,3518469.104,1612483200000
